qa1,qa2,qa3,qa4,q1,q2,q3,q4,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q5h,q5i,q5j,q10,q11,q12,q13a,q13b,q13c,q13d,q13e,q13f,q14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,q15j,q15k,q15l,q15m,q15n,q15o,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,poids
5,2, ,2,1,4, ,2,3,6,1,2,1,5,3,5,5,4,2,1,1,1,2,1,3,3,2,1,1,1,1,1,1,2,4,4,4,3,2,4,3,2,1,2,2,2,1,4,3,1,2,1,3,3,3,2,1.122813344
5,2, ,4,1,6,2,2,5,5,5,5,5,5,5,5,5,5,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,2,3,2,1,2,2,2,2,1,3,1.032346487
7,2, ,2,1,3, ,2,5,4,5,5,5,4,5,5,5,5,2,2,1,2,3,3,2,3,2,2,1,1,1,2,3,2,1,2,3,3,3,2,3,1,3,2,2,2,1,2,3,4, ,1,2,4,2,3,1.476932526
4,2, ,4,2,1, ,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,4,2,1,2,3,3,1,1,2,2,1,2,1,1,7, ,2,4,1,1,1,1.177266717
7,2, ,4,2,6,6,2,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,4,3,4,3,1,1,3,2,1,2,2,2,1,1,2,1,4, ,1,3,2,1,2,1.357936025
5,2, ,3,1,1, ,1,1,3,3,2,3,1,3,2,2,3,2,2,1,1,2,2,1, ,1,1,1,1,1,1,3,3,2,1,2,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,4,2,1,2,0.409285843
5,1, ,4,1,1, ,2,5,5,5,5,5,5,5,5,5,5,2,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,2,1,1,1,1,1,1,5,1,3,1.05647707
6,1, ,1,1,1, ,1,5,5,2,5,5,5,3,5,4,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,3,3,3,3,2,2,1,3,2,1,1,2,1,2,2,1,3,1,2,2,3,7,1,2,0.793835282
7,1, ,2,1,1, ,1,2,4,5,5,5,5,1,5,4,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,3,3,1,3,2,1,3,2,2,1,2,2,1,2,1,1,1,4, ,1,2,4,2,3,1.303578258
4,2, ,4,2,6,1,3,2,4,6,3,6,4,1,2,4,6,3,3,3,4,3,3,3,4,3,3,2,2,1,3,3,1,4,4,3,3,3,3,4,4,2,2,2,2,1,1,2,7, ,1,5,3,1,2,1.177266717
6,2, ,4,2,6,1,2,2,6,6,6,6,6,3,6,6,6,2,2,1,3,1,1,1,2,2,1,1,2,1,2,2,2,2,2,4,2,2,3,2,2,2,1,2,1,1,4,2,1,2,1,1,9,1,2,1.124882817
6,1, ,3,1,1, ,1,2,4,3,1,5,3,1,2,6,1,3,3,3,3,4,1,4,2,2,4,2,3,1,3,2,1,2,3,2,3,3,2,2,4,3,1,2,2,1,1,3,1,2,1,1,8,1,2,0.464615017
2,1, ,1,1,3, ,2,2,2,2,2,3,3,3,4,2,3,2,2,2,2,2,3,2,2,1,2,2,1,1,2,2,2,2,2,3,2,2,2,2,3,1,2,1,2,3,2,2,1,1,2,2,3,2,3,3.41253686
5,1, ,4,1,2, ,2,2,6,3,2,1,4,6,2,6,3,2,2,1,2,2,1,1,2,1,3,1,1,1,2,2,2,3,3,3,1,1,3,3,2,2,1,1,1,4,1,2,1,2,1,3,3,1,1,1.05647707
5,1, ,4,1,1, ,2,2,6,1,3,1,6,3,6,5,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,1,2,1,2,1,2,5,1,3,1.05647707
7,2, ,2,1,1, ,2,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,3,3,4,2,1,2,3,2,2,2,2,2,1,2,1,1,4, ,1,2,3,1,2,0.804237127
6,2, ,1,1,3, ,3,1,6,2,6,6,2,2,4,6,2,2,3,2,2,1,1,2,2,1,3,2,2,1,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,1,6,2,4, ,1,1,3,2,2,1.399336338
7,2, ,4,1,1, ,2,3,4,2,2,1,4,2,1,4,1,2,3,2,1,3,2,2,2,3,3,2,2,1,2,2,3,2,4,4,2,3,2,1,3,2,2,2,1,1,1,2,4, ,1,1,4,1,2,1.357936025
4,1, ,2,2,1, ,2,2,4,1,2,1,4,2,2,4,1,1,1,1,1,1,2,2,3,2,3,2,2,1,3,3,4,4,4,2,2,2,4,2,1,2,2,1,1,1,1,3,1,1,1,2,8,1,3,0.831898987
4,1, ,1,1,1, ,2,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,1,1,3,3,1,1,1,1,2,1,4,3,1,1,2,2,1,4,1,1,0.951485813
6,1, ,4,1,1, ,2,2,4,5,2,1,4,2,6,6,1,2,2,2,3,3,3,3,3,3,3,2,2,2,3,2,2,3,3,2,2,2,2,2,1,3,2,2,1,2,1,2,4, ,1,2,5,1,2,1.171905637
6,1, ,4,1,1, ,2,2,4,1,2,1,4,2,1,1,1,2,2,1,1,1,1,2,2,3,2,1,2,1,2,2,2,3,3,2,2,2,2,4,1,2,2,2,1,3,1,1,4, ,1,1,4,1,3,1.171905637
5,2, ,1,2,1, ,2,2,4,2,5,1,3,1,2,3,1,2,2,1,1,1,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,2,3,2,1,1,2,2,2,2,3,1,1,1,2,2,3,1,2,0.69930023
7,2, ,4,1,6,6,2,5,2,2,2,1,1,2,5,1,5,2,2,2,2,2,2,3,2,3,3,2,2,2,2,3,2,2,3,2,3,3,2,2,3,2,2,1,2,2,2,1,4, ,1,1,2,1,3,1.357936025
2,1, ,4,2,4, ,2,2,4,1,5,5,5,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,4,2,1,2,2,1,2,1,2,2.743238449
4,2, ,3,1,6,6,2,6,6,6,6,6,6,6,6,6,6,2,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,3,2,2,2,3,3,3,2,2,2,2,1,3,6,3,7, ,2,3,9,1,2,0.466740996
6,1, ,1,2,3, ,3,1,6,1,3,3,5,3,1,6,6,1,1,2,2,3,2,1,3,3,2,2,1,1,2,2,2,1,2,2,3,3,1,1,1,2,2,2,2,1,2,2,1,2,2,3,2,1,2,0.793835282
5,2, ,1,1,3, ,4,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,2,2,2,3,3,2,1,1,2,1,2,3,7, ,2,1,9,1,1,0.69930023
4,1, ,3,1,4, ,1,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,2,2,1,1,4,1,3,2, ,1,3,8,2,3,1.02268827
6,2, ,2,1,1, ,2,2,4,1,2,5,4,3,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,4,3,3,4,1,2,3,3,1,2,1,2,1,3,3,2,2, ,1,1,5,1,3,0.666213214
4,2, ,4,1,1, ,2,2,4,1,2,1,3,2,2,5,6,1,2,2,2,2,2,2,1,2,2,2,2,2,3,2,3,3,3,3,2,2,3,3,2,2,2,2,2,1,1,3,1,2,1,2,5,1,3,1.177266717
5,1, ,4,2,2, ,3,2,4,5,3,2,4,2,5,4,6,2,2,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,1,1,3,3,2,5, ,2,3,1,1,2,1.05647707
4,1, ,1,2,3, ,4,6,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,1,6,3,1,2,1,3,4,1,2,0.951485813
6,1, ,4,2,1, ,2,2,4,1,3,2,4,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,4,2,4,4,4,3,1,1,4,2,2,1,1,2,1,4,1,1,1,2,2,4,2,1,2,1.171905637
7,1, ,3,1,1, ,2,2,4,1,1,2,4,2,2,3,1,2,2,2,1, , ,1,2, ,2,2,2,2,2,2,1,2,3,2,3,1,2,1,2,2,2,1,2,2,1,1,4, ,1,1,4,1,3,0.475177228
6,2, ,2,1,1, ,2,2,5,5,2,5,4,5,5,5,5,1,1,1,2,1,1,3,1,4,1,2,2,1,2,2,4,3,1,3,2,2,4,3,1,2,2,2,1,3,4,2,4, ,1,1,3,1,2,0.666213214
6,2, ,1,1,4, ,2,2,4,4,4,4,4,1,1,4,4,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,4,2,3,2,1,2,4,3,2,2,1,2,1,4,4,2,4, ,1,5,3,1,2,0.761983514
4,2, ,4,1,6,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,2,4,3,4,2,1,1,3,2,3,2,2,1,2,1,6,2,2, ,1,5,3,1,2,1.177266717
4,2, ,4,2,6,6,2,6,6,6,6,6,6,6,6,6,6,2,2,2,3,3,3,3,3,3,2,2,3,2,3,2,2,3,3,3,3,2,3,3,2,2,2,2,1,2,6,2,6, ,2,3,1,1,3,1.177266717
7,2, ,1,1,1, ,2,5,4,1,5,2,5,5,3,5,3,2,2,2,1,1,1,1,2,1,1,1,3,1,3,3,3,3,2,2,3,3,2,2,2,2,2,1,2,1,6,2,4, ,2,3,9,1,2,0.919848382
5,1, ,3,1,1, ,2,2,4,1,3,1,4,2,1,4,1,2,2,1,1,1,2,1,2,3,2,1,2,1,3,2,4,3,3,3,1,2,3,2,1,3,1,2,1,3,3,3,2, ,2,4,3,1,2,0.418852627
3,2, ,4,2,6,6,2,5,6,4,5,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,4,1,4,4,1,1,2,3,1,1,1,2,1,1,3,2,1,1,1,1,3,1,2,1.053183079
4,1, ,2,1,1, ,2,2,3,1,2,1,4,2,1,4,1,2,2,2,2,3,3,2,3,3,2,2,2,1,3,2,3,2,3,2,2,2,1,2,1,2,1,2,1,3,1,2,1,2,1,2,6,1,3,0.831898987
6,1, ,1,1,3, ,2,6,6,6,6,6,6,6,6,6,2,2,3,3,3,4,4,3,4,3,4,2,2,1,1,3,3,3,3,3,2,2,3,3,3,2,2,2,2,1,2,2,4, ,2,3,3,1,1,0.793835282
6,1, ,4,1,3, ,3,2,4,2,2,2,4,2,2,2,2,2,2,2,2,3,4,3,2,2,2,3,1,2,1,3,1,3,4,1,3,1,2,2,1,1,2,2,2,1,2,3,2, ,1,2,8,1,4,1.171905637
4,1, ,1,1,1, ,1,6,5,5,1,5,1,5,1,5,1,4,4,4,5,5,4,4,4,5,4,4,4,4,4,4,1,2,3,2,4,2,2,2,4,4,2,1,2,1,1,3,1,1,2,3,4, ,2,1.747347355
7,2, ,2,1,1, ,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,2,1,4,2,2,1,2,2,2,2,2,2,1,4,1,1,4, ,2,1,3,1,2,0.804237127
6,2, ,3,1,1, ,2,2,4,1,1,1,1,1,5,4,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,2,4,2,4,3,1,2,3,2,1,2,1,2,1,3,1,1,4, ,2,1,4,1,2,0.445973217
5,1, ,1,2,6,6,3,2,4,5,6,6,6,2,6,6,4,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,4,4,4,3,1,2,3,4,1,1,1,2,1,3,6,3,1,1,2,3,2,1,1,0.715646088
5,1, ,1,2,2, ,4,1,3,3,3,3,4,3,2,3,3,1,2,1,2,2,1,1,2,1,3,1,2,1,1,3,4,4,2,2,1,2,3,3,1,2,2,2,1,4,3,3,5, ,1,5,5,1,2,0.715646088
2,1, ,1,1,3, ,3,2,4,2,2,3,3,2,2,3,1,1,1,1,3,1,1,1,3,2,2,1,2,3,3,2,2,2,3,3,2,2,2,3,1,2,2,2,2,1,2,2,3, ,2,3,1,1,1,1.858236074
7,1, ,2,1,1, ,1,2,1,1,1,1,4,2,5,1,1,2,2,2,2,3,2,3,4,3,2,1,2,1,2,2,3,3,3,3,2,3,2,2,3,2,2,2,1,1,1,2,4, ,1,1,4,1,3,0.70984
