qa1,qa2,qa3,qa4,q1,q2,q3,q4,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q5h,q5i,q5j,q10,q11,q12,q13a,q13b,q13c,q13d,q13e,q13f,q14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,q15j,q15k,q15l,q15m,q15n,q15o,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,poids
4,2, ,3,1,1, ,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5, ,3,3, ,1,1,3,2,2,2,2,2,2,2,3,1,3,2,2,1,1,2,2,1,1,3,1,1,2,2,6,1,2,0.466740996
2,2, ,2,2,6,6,2,2,6,1,2,1,4,6,6,6,6,2,1,2,1,1,1,1,1,1,3,1,1,1,3,2,3,2,3,3,3,1,2,1,1,2,2,2,1,1,1,2,3, ,2,3,9,1,2,1.645516038
6,1, ,4,1,1, ,2,2,4,1,2,1,4,3,1,1,1,2,3,1,2,3,2,4,3,3,3,2,1,2,3,2,4,3,4,3,2,3,3,2,3,3,1,2,1,3,1,3,4, ,1,1,6,1,3,1.171905637
2,2, ,1,2,4, ,4,2,4,5,1,2,4,1,2,3,4,1,2,1,1,2,1,1,1,1,3,1,1,1,3,1,4,4,3,4,1,2,4,3,1,1,2,2,1,4,4,2,3, ,2,3,5,1,2,1.882062912
4,1, ,2,1,3, ,4,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,3,2,3,1,1,1,1,2,3,2,2,2,2,3,3,2,2,2,2,2,2,1,2,2,1,2,2,3,9,1,2,0.831898987
6,1, ,2,2,3, ,4,1,2,2,2,2,2,4,2,4,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,3,1,2,3,2,2,1,2,1,2,1,2,2,1,2,1,4, ,1,3,4,2,3,1.274603128
7,2, ,1,2,3, ,3,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,1,1,2,1,2,1,4, ,2,1,2,2,2,1.689245582
2,2, ,4,2,6,6,3,1,4,1,3,3,1,4,6,3,3,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,4,2,2,1,2,3,1,1,1,2,2,1,3,6,1,7, ,2,2,1,1,2,2.778412342
4,2, ,3,1,6,6,2,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,4,2,3,2,2,2,2,2,3,3,2,3,2,2,3,3,2,1,2,1,6,2,1,2,2,4,3,1,2,0.466740996
5,1, ,4,2,1, ,2,2,4,1,2,1,1,1,1,1,1,3,3,2,3,2,4,4,4,4,3,3,2,2,2,3,1,1,3,1,3,3,2,1,1,3,2,2,2,1,1,3,1,1,1,2,8,1,3,1.05647707
4,2, ,2,2,3, ,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,1,5,3,3,2,1.280435085
4,2, ,4,2,4, ,4,2,4,4,4,4,4,2,2,4,4,1,1,1,1,2,1,1,2,1,2,1,1,1,3,1,4,3,3,3,1,2,4,3,1,1,1,2,2,2,4,1,3, ,2,2,2,1,2,1.177266717
5,1, ,1,1,1, ,2,2,4,4,4,4,3,2,2,4,1,1,2,1,2,3,2,3,2,2,2,1,1,1,2,1,4,1,3,4,1,3,2,2,1,1,2,2,2,1,2,3,1,1,1,3,9,1,2,0.715646088
3,2, ,1,1,6,6,2,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,3,2,3,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,6,3,2, ,1,5,5,3,2,1.310143232
4,1, ,4,2,4, ,2,2,3,4,1,4,4,2,5,4,3,2,2,1,1,3,2,2,1,2,3,1,2,2,3,2,4,3,3,2,1,2,3,3,2,2,2,2,1,4,4,1,1,2,1,1,6,1,2,1.404640555
7,1, ,4,1,3, ,4,5,2,4,2,2,2,2,1,1,2,1,1,2,2,1,2,2,3,1,1,2,1,1,1,3,1,1,2,2,2,2,2,3,2,3,2,2,2,1,2,3,4, ,1,1,3,2,2,2.201056242
6,1, ,2,2,2, ,3,2,4,3,2,3,4,1,2,3,3,2,2,1,3,2,1,2,3,1,2,1,2,1,1,2,2,3,3,2,1,2,3,1,2,2,1,1,1,4,3,2,1,2,2,3,4,1,2,0.694062114
7,1, ,2,2,6,1,3,2,4,3,5,3,4,5,2,3,1,2,3,2,1,3,2,1,3,2,4,2,2,1,2,3,2,1,3,1,3,3,3,2,2,3,2,2,2,2,1,2,4, ,1,1,4,1,3,0.70984
6,2, ,3,1,1, ,2,2,1,3,2,4,3,3,1,4,5,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,1,2,2,1,2,1,2,1,1,2,2,1,1,1,1,5, ,1,1,3,1,2,0.445973217
7,1, ,4,1,1, ,2,2,4,5,2,5,3,2,2,3,5,3,3,3,3,3,3,4,3,3,3,2,2,1,2,3,1,3,2,2,3,2,3,1,2,2,2,1,2,1,1,2,4, ,1,1,5,1,4,1.198545694
7,2, ,3,1,1, ,1,2,4,3,6,1,4,6,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,3,2,4,3,1,2,2,2,1,2,1,2,1,1,1,2,4, ,1,1,4,1,2,0.538370252
7,2, ,4,1,2, ,3,2,1,2,2,6,4,3,1,6,6,2,2,2,3,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,1,1,4, ,2,3,1,1,1,1.357936025
5,2, ,2,1,4, ,2,2,4,4,4,3,4,2,1,3,4,1,2,1,2,4,3,2,3,2,2,1,1,1,2,1,4,4,4,3,2,2,4,1,2,2,1,2,2,1,4,2,2, ,1,2,6,1,3,0.611408412
6,1, ,4,2,2, ,2,2,4,1,6,4,3,2,2,4,3,1,1,1,1,1,1,1,1,2,1,1,2,1,3,2,4,4,3,2,1,1,4,1,1,1,2,2,1,4,3,1,4, ,1,1,2,1,3,1.171905637
7,1, ,4,1,3, ,2,2,4,1,3,2,1,6,2,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,4,3,4,2,1,2,2,1,1,2,2,1,2,1,1,2,4, ,1,1,3,1,2,1.198545694
2,2, ,2,1,6,6,2,2,1,1,2,3,4,2,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,4,1,1,2,3,1,1,1,2,1,2,6,1,3, ,2,2,2,1,2,1.645516038
6,2, ,1,1,5, ,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,1,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,1,2,5,2,2,1.399336338
7,1, ,2,1,1, ,2,2,1,3,2,1,4,3,1,1,1,2,2,3,2,3,2,2,3,3,3,2,2,1,2,2,3,2,2,2,2,2,2,1,1,2,2,2,1,3,1,2,4, ,1,1,2,1,2,0.70984
6,1, ,2,1,6,6,1,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,1,1,1,1,1,1,4,2,1,1,4,4,1,4,4,1,1,1,4,6,2,4, ,2,1,4,1,2,0.694062114
7,1, ,1,1,6,1,2,2,4,1,2,3,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,3,1,2,2,2,2,1,2,1,4, ,2,3,2,1,1,0.811881065
4,1, ,1,2,6,6,3,6,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,5,5,5,4,4,4,3,3,4,1,1,2,2,4,3,1,3,4,4,2,2,1,2,6,2,5, ,2,3,1,1,1,0.951485813
7,1, ,4,2,1, ,2,2,6,6,1,2,4,6,2,6,6,2,2,1,1,3,2,2,2,1,1,1,1,1,2,1,2,4,2,3,1,2,3,3,1,1,1,2,1,4,4,1,4, ,2,1,9,1,2,1.198545694
4,1, ,1,1,6,2,2,2,5,1,3,3,1,3,3,1,6,2,2,2,1,3,3,2,3,2,3,1,2,1,3,2,4,3,3,3,2,2,3,2,2,2,1,2,2,4,1,3,1,2,2,4,7,3,1,1.747347355
7,1, ,2,1,1, ,2,2,4,4,2,1,4,2,2,4,1,2,3,2,1,3,1,2,3,3,3,1,2,1,2,2,2,3,3,3,2,2,3,2,1,2,2,2,1,2,4,3,4, ,1,1,4,1,2,0.70984
6,1, ,1,2,6,6,3,1,4,6,6,4,4,3,1,2,6,2,2,2,1,2,2,4,3,3,2,2,2,1,3,3,2,2,2,2,2,3,2,2,2,2,2,2,1,2,4,1,1,2,2,3,4,1,1,0.793835282
6,2, ,3,1,6,3,3,2,1,1,2,2,4,2,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,2,3,3,3,2,2,3,3,2,2,2,2,1,1,2,3,4, ,1,4,9,1,2,0.445973217
7,1, ,4,1,1, ,1,2,4,1,1,1,4,1,1,1,1,2,3,2,3,3,1,3,2,3,3,1,2,1,2,3,1,2,3,2,3,3,2,2,3,2,2,1,2,1,1,2,4, ,1,1,4,1,2,1.198545694
7,2, ,4,1,4, ,2,2,4,4,4,4,4,3,2,4,4,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,3,3,3,1,3,3,4,1,1,1,2,1,3,4,3,4, ,1,1,4,1,2,1.357936025
3,2, ,1,2,4, ,3,1,1,1,3,3,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,3,3,2,2,1,2,2,4,4,2,1,2,2,3,2,1,2,0.713415027
6,1, ,1,2,5, ,4,2,4,5,2,3,3,3,2,4,6,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,3,2,3,2,2,3,2,2,2,1,2,1,2,1,2,1,2,2,3,2,1,1,0.793835282
5,2, ,2,1,1, ,1,1,4,1,1,3,1,1,1,4,1,2,2,1,2,2,2,3,3,3,3,2,1,1,2,2,2,3,4,2,2,2,3,2,2,2,2,1,2,1,1,3,1,2,1,1,8,1,3,0.611408412
7,2, ,3,1,1, ,1,5,5,5,5,5,5,5,5,5,5,1,2,1,2, , ,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,1,3,0.538370252
4,2, ,4,1,5, ,3,3,2,4,5,6,5,1,4,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,2,1,2, ,2,2,6,1,2,1.177266717
3,1, ,4,2,5, ,2,2,4,3,2,1,4,3,2,5,6,3,3,2,2,2,1,1,3,1,3,2,2,2,3,1,1,3,3,3,2,3,2,3,1,3,1,2,2,1,5,1,1,2,2,1,2,1,1,1.654735684
6,2, ,4,2,1, ,2,1,1,3,1,1,1,3,1,1,3,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,4,3,4,2,1,2,2,1,1,2,2,1,1,2,6,1,6, ,1,1,3,1,3,1.124882817
7,1, ,2,1,6,1,2,5,5,1,1,1,5,1,5,5,1,2,2,2,3,2,2,2,3,3,2,1,1,1,3,2,2,4,4,2,2,2,3,2,2,2,1,2,1,2,1,1,4, ,1,3,3,1,3,0.70984
4,2, ,1,2,6,3,3,2,3,2,2,2,1,1,2,6,6,2,1,1,2,3,2,3,3,3,2,1,1,1,3,2,2,2,4,3,2,2,3,3,3,2,2,2,2,1,1,3,1,2,1,1,9, ,2,1.4645015
6,2, ,2,1,1, ,1,2,4,1,1,1,4,1,1,1,1,2,3,1,3,2,2,1,3,2,3,2,2,2,2,3,1,2,3,3,3,4,3,1,1,3,1,2,1,1,1,1,4, ,1,1,4,1,2,0.666213214
7,1, ,4,1,3, ,2,1,4,3,2,1,4,2,1,3,6,2,2,1,1,2,2,1,2,1,2,1,1,1,2,1,3,3,3,3,2,2,4,1,2,1,2,2,1,2,2,3,4, ,1,1,7,1,3,1.198545694
7,2, ,1,2,4, ,3,2,5,4,4,1,6,5,6,4,4,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,4,3,4,3,1,2,4,3,1,1,1,2,1,3,4,3,4, ,1,3,2,1,1,0.919848382
5,2, ,2,2,5, ,2,3,4,2,3,2,1,2,1,2,1,1,2,1,1,2,1,2,2,3,1,2,2,1,3,2,3,3,3,2,2,3,4,3,2,2,2,2,2,1,2,2,1,2,1,2,4,1,3,0.611408412
5,1, ,2,1,1, ,2,2,1,1,1,1,4,3,2,1,1,2,2,2,1,2,2,3,3,2,2,2,2,2,3,3,3,2,3,2,2,3,2,2,2,2,2,2,1,2,1,3,1,1,1,4,3,1,2,0.625699759
6,1, ,2,1,2, ,2,2,3,3,3,3,3,3,1,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,4,3,1,2,3,2,2,2,2,2,1,4,3,1,4, ,1,1,3,1,2,0.694062114
6,1, ,4,1,1, ,2,6,1,1,1,1,1,1,1,1,1,3,3,4,4,4,3,3,4,4,4,3,1,1,1,3,1,2,4,1,3,1,2,2,2,3,2,1,1,3,6,1,1,2,1,3,3,1,2,1.171905637
3,1, ,2,1,6,6,3,6,6,6,6,6,6,6,6,6,6,2,2,3,3,3,3,3,3,3,2,2,3,2,3,2,2,2,2,2,3,3,3,2,2,2,1,2,1,2,6,1,6, ,2,5,9,1,2,0.980017841
7,1, ,4,1,4, ,2,2,5,5,2,5,4,5,2,5,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,4,2,2,2,2,3,2,1,2,1,2,1,4,4,2,4, ,2,1,3,1,2,1.198545694
7,1, ,1,2,6,6,2,6,4,3,6,2,4,2,6,4,6,4,4,4,5,4,5,4,5,5,4,4,3,3,1,4,1,1,4,2,4,4,1,1,4,4,2,2,2,1,5,3,4, ,1,1,9,1,3,0.811881065
4,2, ,3,2,1, ,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,3,3,3,3,1,2,1,1,2,2,4,2,4,2,1,2,2,4,1,1,2,2,1,1,1,1,6, ,1,2,3,1,3,0.466740996
4,1, ,4,2,1, ,2,2,4,1,2,1,4,3,2,4,1,4,4,4,5,5,5,5,3,5,4,3,2,4,2,4,1,2,2,2,3,1,1,2,4,4,2,1,2,1,1,3,1,2,1,2,6,1,3,1.404640555
4,2, ,1,1,4, ,3,1,1,4,1,4,4,3,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,2,1,2,5,1,1,0.797467113
6,2, ,4,1,1, ,2,5,5,2,5,1,4,3,5,5,5,3,3,3,3,3,3,3,2,2,3,3,3,2,1,3,2,2,2,1,2,2,2,3,3,3,2,2,2,1,1,1,4, ,1,1,3,1,4,1.124882817
5,1, ,2,1,1, ,3,2,6,6,6,6,6,6,6,6,6,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,3,1,2,1,1,3,1,2,0.625699759
7,1, ,2,1,1, ,1,1,4,4,1,1,1,1,1,4,2,3,3,3,4,3,3,4,4,4,3,3,2,1,1,4,1,2,2,2,4,1,1,3,3,4,2,2,2,1,1,3,4, ,1,1,6,1,2,0.70984
6,2, ,4,1,6,4,2,2,4,4,4,6,6,3,2,4,4,2,3,2,3,3,2,2,2,2,3,1,1,1,2,1,3,1,3,2,2,1,3,2,1,2,2,2,2,1,1,3,4, ,2,3,1,1,2,1.124882817
6,2, ,4,1,2, ,3,2,4,6,6,3,6,6,6,6,6,3,3,2,4,4,3,3,3,5,3,2,3,1,3,2,1,2,3,3,3,3,2,3,3,2,2,2,1,4,4,2,4, ,1,1,9,1,3,1.124882817
4,1, ,1,1,4, ,3,1,6,4,3,3,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,3,3,3,1,2,3,2,2,1,1,2,1,3,4,2,1,2,2,2,4,1,2,0.951485813
6,2, ,4,2,5, ,3,2,4,4,6,5,4,1,6,6,6,1,2,1,1,3,2,3,2,1,2,1,1,1,2,1,3,3,4,2,1,2,2,3,2,3,2,2,1,1,6,2,1,2,2,3,2,1,2,1.124882817
6,2, ,3,1,6,6,2,2,1,1,2,2,4,3,1,1,2,3,3,3,3,2,1,2,3,5,3,1,4,1,2,3,1,3,3,3,1,4,3,3,3,4,2,1,1,2,4,3,4, ,1,3,5,1,2,0.445973217
7,2, ,1,2,6,6,2,5,5,5,5,5,5,5,5,5,5,1,2,1,1, , , ,2, ,2,1,1,1,3,2,3,2,3,2,1,3,2,2,2,2,2,1,2,1,2,1,4, ,1,1,9,2,3,1.689245582
3,2, ,2,2,6,6,2,2,4,6,2,6,4,2,6,6,6,2,2,2,2,2,2,2,2,2,2,1,2,1,3,2,3,2,3,3,1,2,3,2,2,2,1,2,2,1,5,3,1,1,1,2,5,1,3,0.623749137
4,1, ,1,1,1, ,2,6,6,6,6,1,6,6,1,6,1,4,4,4,5,5,5,5,4,5,4,4,2,2,1,4,1,1,4,1,4,2,1,1,4,4,2,2,2,1,1,3,5, ,1,2,7,3,3,1.747347355
4,2, ,4,2,3, ,3,5,5,5,1,5,4,5,5,5,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,4,2,2,2, ,2,4,1,1,2,1.177266717
6,1, ,1,2,5, ,4,2,4,3,3,1,4,2,1,4,6,1,1,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,4,5,3,1,2,1,4,5,1,2,0.793835282
7,1, ,4,1,3, ,2,2,4,4,2,2,3,1,2,1,2,2,3,2,3,4,4,3,3,3,2,2,2,2,2,2,2,3,2,2,2,3,3,2,3,2,1,2,2,1,2,2,4, ,1,1,3,2,3,2.201056242
6,2, ,4,2,4, ,3,2,4,1,4,4,6,2,2,6,4,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,3,2,3,3,2,2,2,2,1,2,2,1,2,1,4,3,7, ,2,3,1,1,2,1.124882817
6,2, ,2,2,1, ,3,3,6,5,1,4,6,6,6,6,5,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,1,2,2,3,1,2,4, ,2,5,3,1,2,0.666213214
3,2, ,3,1,1, ,2,2,4,1,2,1,1,3,1,1,1,4,3,3,4,4,3,3,3,4,4,3,3,2,2,2,1,2,2,3,2,3,1,2,3,3,2,1,1,1,1,1,1,1,1,2,5,1,2,0.417546809
7,1, ,4,1,3, ,3,2,4,6,1,5,3,2,2,4,2,4,4,3,3,3,2,4,2,4,4,2,2,2,2,2,1,1,2,2,2,1,2,2,3,2,2,1,2,1,2,3,4, ,1,1,3,1,3,1.198545694
6,1, ,2,1,3, ,2,2,3,2,2,1,1,2,2,3,2,2,2,2,3,2,2,3,2,3,3,1,1,2,2,4,2,1,2,2,4,3,2,1,3,3,2,2,2,1,2,2,4, ,1,3,4,2,2,1.274603128
7,1, ,4,1,2, ,2,2,6,1,2,3,1,3,1,1,3,2,2,2,1,3,2,2,2,2,2,1,2,2,1,2,2,1,3,2,1,2,1,1,1,1,1,2,1,3,3,2,1,2,1,1,5,1,2,1.198545694
5,1, ,4,1,3, ,2,3,4,4,1,3,2,2,3,2,2,2,2,2,3,2,3,3,3,3,2,2,2,1,2,2,2,1,2,3,3,2,1,3,3,2,1,1,2,2,2,1,1,1,1,3,4,1,2,1.05647707
7,2, ,2,1,1, ,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,2,3,2,3,2,2,2,2,2,1,1,2,4, ,2,5,2,1,1,0.804237127
6,1, ,1,2,3, ,4,3,4,2,2,2,4,4,1,2,2,3,3,1,2,2,2,3,3,3,2,3,2,2,1,4,1,1,2,3,3,2,2,3,2,3,2,2,2,1,2,1,6, ,2,3,1,2,1,1.457831264
6,1, ,1,1,6,1,3,2,3,2,6,3,5,6,2,4,6,3,3,3,3,4,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,2,2,2,3,3,2,2,2,1,1,3,1,2,2,3,5,2,2,1.457831264
6,2, ,1,1,3, ,2,5,5,5,2,5,4,5,5,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,4,3,2,3,1,2,3,1,1,2,2,2,2,1,2,3,4, ,2,2,5,3,3,1.399336338
4,1, ,2,2,4, ,2,2,5,4,4,4,3,4,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,4,2,1,1,1,2,7,1,3,0.831898987
6,2, ,1,1,1, ,2,6,6,2,5,5,3,3,6,6,3,1,1,1,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,1,2,2,3,3,2,2,2,1,2,2,1,3,6, ,2,3,1,1,1,0.761983514
6,2, ,2,1,1, ,2,2,1,1,2,1,3,5,1,3,1,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,3,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,4, ,1,3,3,1,3,0.666213214
6,2, ,3,1,1, ,1,6,1,1,1,1,1,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,3,3,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,0.445973217
5,1, ,3,1,5, ,3,2,5,5,1,1,5,5,2,3,1,3,4,3,4,2,2,3,3,3,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,4,5,2,1,2,2,2,2,1,2,0.418852627
5,1, ,4,2,4, ,4,4,4,4,4,4,4,4,1,4,4,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,1,1,3,3,1,1,1,1,2,2,1,4,3,1,2,1,2,7,2,3,1.940156102
7,2, ,3,1,3, ,3,2,4,2,3,2,4,3,2,4,6,3,3,3,4,4,3,4,3,4,4,3,3,2,3,4,1,2,3,2,3,3,2,2,3,4,2,1,2,1,2,3,4, ,1,1,8,1,3,0.538370252
7,2, ,2,1,6,6,2,5,5,5,5,3,3,5,2,5,5,3,3,3,4,3,3,3,3,3,4,2,2,1,2,3,1,1,2,1,2,4,1,1,3,3,2,2,2,2,6,2,4, ,2,3,2,1,2,0.804237127
6,1, ,3,1,4, ,2,2,4,4,2,1,4,2,1,4,4,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,1,3,2,2,3,1,2,2,3,2,2,1,4,4,1,4, ,2,1,1,1,2,0.464615017
5,1, ,2,1,1, ,1,2,4,1,3,1,4,3,2,4,1,4,4,3,3,2,4,4,1,1,4,2,1,1,1,2,1,2,1,2,2,1,4,3,3,2,1,2,2,1,1,2,1,2,1,2,8,1,3,0.625699759
6,1, ,2,1,1, ,2,2,4,1,1,1,4,1,1,4,1,3,3,4,4,4,4,4,4,4,3,2,4,2,4,4,2,1,1,3,4,4,1,2,3,4,2,2,2,1,1,1,4, ,1,1,4,1,2,0.694062114
6,2, ,4,1,5, ,2,6,6,6,6,6,6,6,6,6,6,3,3,3,4,4,4,4,4,4,3,3,2,3,1,3,2,2,3,2,3,2,2,2,3,3,2,1,2,1,5,1,6, ,1,1,2,1,2,1.124882817
6,2, ,1,1,3, ,2,2,2,5,2,4,2,2,2,5,4,2,1,2,1,2, ,2,3,3,1,1,1,1,1,2,4,2,1,3,2,2,2,4,2,1,2,2,2,1,6,2,1,1,2,3,3,1,2,0.761983514
6,1, ,2,1,1, ,1,1,4,1,1,4,1,1,1,4,1,1,1,1,3,1,4,2,3,4,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,1,3,4, ,1,1,3,1,2,0.694062114
5,2, ,2,1,1, ,2,2,4,1,2,1,4,3,2,4,1,2,2,1,1,3,1,2,1,3,2,2,1,2,3,2,4,3,4,2,2,2,3,2,2,3,1,2,1,2,1,2,1,1,2,1,6,1,2,0.611408412
7,2, ,1,1,3, ,3,6,6,6,6,6,6,6,6,6,6,2,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,1,4, ,1,1,3,3,2,1.689245582
6,1, ,2,2,6,6,3,2,6,6,6,6,6,6,2,4,6,2,2,2,2,3,3,3,3,2,3,3,3,3,3,2,3,2,2,2,2,2,3,3,3,3,2,2,1,3,6,3,4, ,2,3,2,1,2,0.694062114
7,1, ,3,1,2, ,2,2,6,6,6,5,6,3,6,6,3,1,2,1,1,3,1,2,3,3,3,2,1,2,2,2,4,3,3,3,2,3,4,2,2,2,1,2,1,4,3,3,4, ,1,1,3,1,2,0.475177228
4,2, ,1,2,1, ,4,3,4,4,4,2,2,4,1,3,1,1,1,2,2,2,4,5,4,3,2,1,3,1,3,2,4,1,4,3,2,4,2,4,1,2,1,2,2,1,1,3,1,2,1,4,6,2,2,1.4645015
5,1, ,4,2,1, ,2,2,4,1,2,1,4,2,2,4,1,3,3,3,3,3,4,2,4,3,3,2,2,2,3,3,2,2,3,3,2,3,3,3,3,3,2,1,2,1,1,2,1,1,1,5,3,1,2,1.05647707
6,1, ,4,1,1, ,2,2,6,1,1,4,4,1,2,3,1,2,2,2,1,2,1,3,2,3,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,1,3,1,2,4, ,1,1,3,1,2,1.171905637
5,1, ,2,1,3, ,4,3,4,6,1,2,5,2,4,3,5,4,1,2,4,2,3,1,4,5,2,2,4,2,2,4,3,3,2,3,1,3,2,1,3,4,1,2,2,3,2,1,2, ,1,3,2,1,2,0.625699759
7,2, ,1,2,3, ,3,2,6,5,2,2,6,1,2,4,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,3,2,1,2,2,1,2,2,3,1,2,2,2,2,1,2,2,4, ,1,3,6,2,2,1.689245582
4,1, ,3,2,4, ,3,2,4,3,3,1,1,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,4,2,3,3,1,4,1,1,1,2,1,2,1,4,4,2,1,2,2,3,3,1,2,0.556885123
4,2, ,1,1,6,6,2,6,6,6,6,6,6,6,6,6,6,1,2,2,1,2,1,2,2,1,3,1,1,1,2,2,4,2,4,3,2,3,3,3,2,3,1,2,1,3,1,3,1,2,1,3,9,1,2,0.797467113
5,2, ,2,2,2, ,2,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,2,1,1,2,4,1,2,1,2,1,4,3,1,4, ,2,3,1,1,1,0.611408412
6,1, ,2,2,2, ,2,2,6,2,1,3,4,1,3,6,3,1,1,1,1,1,1,1,1,1,2,1,1,1,4,2,4,4,4,4,1,2,4,2,2,2,2,2,1,4,3,1,4, ,1,3,3,1,2,0.694062114
6,1, ,2,1,1, ,2,2,2,1,2,1,4,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,3,3,2,2,1,2,4,2,2,2,2,2,1,4,1,1,4, ,2,5,3,1,2,0.694062114
5,2, ,3,1,1, ,2,6,1,1,6,1,4,2,1,1,1,3,3,3,4,4,2,4,4,2,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,7,1,3,0.409285843
5,1, ,4,1,1, ,2,6,4,1,4,1,1,1,1,6,1,3,3,3,3,3,3,3,2,3,3,1,2,2,2,2,3,2,3,2,2,2,2,2,3,3,2,1,2,1,1,2,1,2,1,1,4,1,2,1.05647707
3,1, ,1,1,1, ,1,1,2,2,6,4,4,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,2,1,1,2,1.120898485
