"","IdCirc","nom2011","nom2015","nom2019","nameChange"
"116",35006,"Bramalea--Gore--Malton","Baie de Quinte","Baie de Quinte",1
"117",35007,"Brampton--Springdale","Beaches--East York","Beaches--East York",1
"118",35008,"Brampton-Ouest","Brampton-Centre","Brampton-Centre",1
"119",35009,"Brant","Brampton-Est","Brampton-Est",1
"120",35010,"Burlington","Brampton-Nord","Brampton-Nord",1
"121",35011,"Cambridge","Brampton-Sud","Brampton-Sud",1
"122",35012,"Carleton--Mississippi Mills","Brampton-Ouest","Brampton-Ouest",1
"123",35013,"Chatham-Kent--Essex","Brantford--Brant","Brantford--Brant",1
"124",35014,"Durham","Bruce--Grey--Owen Sound","Bruce--Grey--Owen Sound",1
"125",35015,"Davenport","Burlington","Burlington",1
"126",35016,"Don Valley-Est","Cambridge","Cambridge",1
"127",35017,"Don Valley-Ouest","Chatham-Kent--Leamington","Chatham-Kent--Leamington",1
"128",35018,"Dufferin--Caledon","Davenport","Davenport",1
"129",35019,"Eglinton--Lawrence","Don Valley-Est","Don Valley-Est",1
"130",35020,"Elgin--Middlesex--London","Don Valley-Nord","Don Valley-Nord",1
"131",35021,"Essex","Don Valley-Ouest","Don Valley-Ouest",1
"132",35022,"Etobicoke-Centre","Dufferin--Caledon","Dufferin--Caledon",1
"133",35023,"Etobicoke--Lakeshore","Durham","Durham",1
"134",35024,"Etobicoke-Nord","Eglinton--Lawrence","Eglinton--Lawrence",1
"135",35025,"Glengarry--Prescott--Russell","Elgin--Middlesex--London","Elgin--Middlesex--London",1
"136",35026,"Bruce--Grey--Owen Sound","Essex","Essex",1
"137",35027,"Guelph","Etobicoke-Centre","Etobicoke-Centre",1
"138",35028,"Haldimand--Norfolk","Etobicoke--Lakeshore","Etobicoke--Lakeshore",1
"139",35029,"Haliburton--Kawartha Lakes--Brock","Etobicoke-Nord","Etobicoke-Nord",1
"140",35030,"Halton","Flamborough--Glanbrook","Flamborough--Glanbrook",1
"141",35031,"Hamilton-Centre","Glengarry--Prescott--Russell","Glengarry--Prescott--Russell",1
"142",35032,"Hamilton-Est--Stoney Creek","Guelph","Guelph",1
"143",35033,"Hamilton Mountain","Haldimand--Norfolk","Haldimand--Norfolk",1
"144",35034,"Huron--Bruce","Haliburton--Kawartha Lakes--Brock","Haliburton--Kawartha Lakes--Brock",1
"145",35035,"Kenora","Hamilton-Centre","Hamilton-Centre",1
"146",35036,"Kingston et les <ce>les","Hamilton-Est--Stoney Creek","Hamilton-Est--Stoney Creek",1
"147",35037,"Kitchener-Centre","Hamilton Mountain","Hamilton Mountain",1
"148",35038,"Kitchener--Conestoga","Hamilton-Ouest--Ancaster--Dundas","Hamilton-Ouest--Ancaster--Dundas",1
"149",35039,"Kitchener--Waterloo","Hastings--Lennox and Addington","Hastings--Lennox and Addington",1
"150",35040,"Lanark--Frontenac--Lennox and Addington","Huron--Bruce","Huron--Bruce",1
"151",35041,"Leeds--Grenville","Kanata--Carleton","Kanata--Carleton",1
"152",35042,"London--Fanshawe","Kenora","Kenora",1
"153",35043,"London-Centre-Nord","King--Vaughan","King--Vaughan",1
"154",35044,"London-Ouest","Kingston et les Îles","Kingston et les Îles",1
"155",35045,"Markham--Unionville","Kitchener-Centre","Kitchener-Centre",1
"156",35046,"Lambton--Kent--Middlesex","Kitchener--Conestoga","Kitchener--Conestoga",1
"157",35047,"Mississauga--Brampton-Sud","Kitchener-Sud--Hespeler","Kitchener-Sud--Hespeler",1
"158",35048,"Mississauga-Est--Cooksville","Lambton--Kent--Middlesex","Lambton--Kent--Middlesex",1
